tier,rank,name,position,positionRank,team,bye,age,pts,adp,vbd
3,100,Matthew Stafford,QB,QB13,DET,10,,96.88,104,-0.75
3,101,Jason Witten,TE,TE13,DAL,7,,35.73,101,-0.17
5,102,Josh Gordon,WR,WR44,CLE,13,,46.29,107,-1.55
5,103,T.J. Yeldon,RB,RB33,JAX,5,,48.32,95,-1.37
5,104,Dwayne Harris,WR,WR45,NYG,8,,46.08,111,-1.76
3,105,Martellus Bennett,TE,TE14,NE,9,,35.57,96,-0.33
3,106,Philip Rivers,QB,QB14,SD,11,,96.56,108,-1.07
5,107,DeAngelo Williams,RB,RB34,PIT,8,,47.89,105,-1.8
5,108,Tevin Coleman,RB,RB35,ATL,11,,47.84,102,-1.85
5,109,Torrey Smith,WR,WR46,SF,8,,45.34,112,-2.5
5,110,LeGarrette Blount,RB,RB36,NE,9,,47.54,106,-2.15
5,111,Kevin White,WR,WR47,CHI,9,,44.7,113,-3.14
3,112,Kirk Cousins,QB,QB15,WAS,9,,96.08,122,-1.55
5,113,Quan Bray,WR,WR48,IND,10,,44.48,109,-3.36
3,114,Marcus Mariota,QB,QB16,TEN,13,,95.92,117,-1.71
5,115,Tyler Ervin,RB,RB37,HOU,9,,46.4,115,-3.29
5,116,Darren Sproles,RB,RB38,PHI,4,,46.2,114,-3.49
5,117,Willie Snead,WR,WR49,NO,5,,43.04,124,-4.8
5,118,Stefon Diggs,WR,WR50,MIN,6,,42.88,116,-4.96
5,119,DeAndre Washington,RB,RB39,OAK,10,,45.76,127,-3.93
5,120,Jay Ajayi,RB,RB39,MIA,8,,45.76,110,-3.93
5,121,Vincent Jackson,WR,WR51,TB,6,,42.14,123,-5.7
3,122,Ryan Fitzpatrick,QB,QB17,NYJ,11,,95.05,120,-2.59
5,123,Andre Ellington,RB,RB41,ARI,9,,44.79,126,-4.9
5,124,Charles Sims,RB,RB42,TB,6,,44.76,118,-4.93
5,125,Chris Ivory,RB,RB42,JAX,5,,44.76,119,-4.93
3,126,Andy Dalton,QB,QB18,CIN,9,,94.8,130,-2.83
5,127,Lucky Whitehead,WR,WR52,DAL,7,,41.12,129,-6.72
3,128,Eric Ebron,TE,TE15,DET,10,,33.89,121,-2.01
5,129,Shane Vereen,RB,RB44,NYG,8,,43.96,125,-5.73
5,130,Phillip Dorsett,WR,WR53,IND,10,,40.16,133,-7.68
5,131,Devin Funchess,WR,WR53,CAR,7,,40.16,132,-7.68
3,132,Ryan Tannehill,QB,QB19,MIA,8,,94.24,135,-3.39
3,133,Derek Carr,QB,QB20,OAK,10,,93.84,128,-3.79
3,134,Zach Miller,TE,TE16,CHI,9,,33.36,134,-2.54
6,135,Jamison Crowder,WR,WR55,WAS,9,,38.56,145,-9.28
6,136,Rishard Matthews,WR,WR56,TEN,13,,38.4,141,-9.44
6,137,Michael Thomas,WR,WR56,NO,5,,38.4,138,-9.44
5,138,Justin Forsett,RB,RB45,BAL,8,,42.13,131,-7.56
6,139,Laquon Treadwell,WR,WR58,MIN,6,,37.6,136,-10.24
6,140,Robert Woods,WR,WR59,BUF,10,,37.18,147,-10.66
6,141,Cordarrelle Patterson,WR,WR60,MIN,6,,37.12,140,-10.72
3,142,Jimmy Graham,TE,TE17,SEA,5,,32.79,137,-3.12
5,143,Benny Cunningham,RB,RB46,LA,8,,41.12,146,-8.57
3,144,Alex Smith,QB,QB21,KC,5,,93.04,148,-4.59
6,145,Steve Smith,WR,WR61,BAL,8,,36.05,142,-11.79
5,146,James Starks,RB,RB47,GB,4,,40.6,143,-9.09
5,147,Bilal Powell,RB,RB48,NYJ,11,,40.53,144,-9.16
6,148,Pierre Garcon,WR,WR62,WAS,9,,35.9,150,-11.94
5,149,Theo Riddick,RB,RB49,DET,10,,40.32,139,-9.37
6,150,Tyreek Hill,WR,WR63,KC,5,,35.58,152,-12.26
6,151,Mohamed Sanu,WR,WR64,ATL,11,,35.52,151,-12.32
5,152,Derrick Henry,RB,RB50,TEN,13,,40,149,-9.69
6,153,Kenny Britt,WR,WR65,LA,8,,34.66,156,-13.18
6,154,Terrance Williams,WR,WR66,DAL,7,,34.62,155,-13.22
3,155,Jared Cook,TE,TE18,GB,4,,32.05,160,-3.85
6,156,Danny Amendola,WR,WR67,NE,9,,34.12,153,-13.72
6,157,Tyler Boyd,WR,WR68,CIN,9,,33.76,157,-14.08
6,158,Kamar Aiken,WR,WR69,BAL,8,,33.44,154,-14.4
6,159,Jermaine Kearse,WR,WR70,SEA,5,,32.86,159,-14.98
6,160,Tajae Sharpe,WR,WR71,TEN,13,,31.1,163,-16.74
6,161,Dorial Green-Beckham,WR,WR72,PHI,4,,30.78,164,-17.06
6,162,Kenny Stills,WR,WR73,MIA,8,,30.46,161,-17.38
6,163,Will Fuller,WR,WR74,HOU,9,,30.4,162,-17.44
3,164,Charles Clay,TE,TE19,BUF,10,,30.8,165,-5.1
6,165,Anquan Boldin,WR,WR75,DET,10,,30.02,167,-17.82
7,166,Mike Wallace,WR,WR76,BAL,8,,29.34,170,-18.5
6,167,Devontae Booker,RB,RB51,DEN,11,,35.09,169,-14.6
7,168,Josh Huff,WR,WR77,PHI,4,,28.8,172,-19.04
3,169,Will Tye,TE,TE20,NYG,8,,30.24,166,-5.66
7,170,Quinton Patton,WR,WR78,SF,8,,28.32,n/a,-19.52
7,171,Chris Hogan,WR,WR79,NE,9,,28.16,168,-19.68
7,172,Jordan Norwood,WR,WR80,DEN,11,,27.68,175,-20.16
3,173,Kyle Rudolph,TE,TE21,MIN,6,,30,174,-5.9
7,174,J.J. Nelson,WR,WR81,ARI,9,,26.88,n/a,-20.96
7,175,Breshad Perriman,WR,WR82,BAL,8,,26.55,n/a,-21.29
6,176,Terrance West,RB,RB52,BAL,8,,32.21,171,-17.48
6,177,Kenneth Dixon,RB,RB53,BAL,8,,32.18,176,-17.52
4,178,Clive Walford,TE,TE22,OAK,10,,28.96,178,-6.94
6,179,Reggie Bush,RB,RB54,BUF,10,,31.52,179,-18.17
6,180,James White,RB,RB55,NE,9,,31.48,173,-18.21
6,181,Dwayne Washington,RB,RB56,DET,10,,31.36,181,-18.33
6,182,Chris Thompson,RB,RB57,WAS,9,,31.32,180,-18.37
6,183,Spencer Ware,RB,RB57,KC,5,,31.32,177,-18.37
6,184,Jerick McKinnon,RB,RB59,MIN,6,,30.56,184,-19.13
6,185,Dion Lewis,RB,RB60,NE,9,,30.04,183,-19.65
7,186,Shaun Draughn,RB,RB61,SF,8,,29.81,187,-19.88
7,187,Dexter McCluster,RB,RB62,TEN,13,,29.72,182,-19.97
4,188,Matt Ryan,QB,QB22,ATL,11,,85.84,204,-11.79
4,189,Vance McDonald,TE,TE23,SF,8,,26.96,n/a,-8.94
4,190,Austin Seferian-Jenkins,TE,TE24,TB,6,,26.49,205,-9.42
4,191,Jay Cutler,QB,QB23,CHI,9,,84.91,214,-12.73
